,0.001059998,,0.027029708,,-0.008818583,0.029082836,,0.026924033,0.036123729,0.028871666,0.027155305,-0.009974391,0.026892346,0.032003924,-0.006983881,
0.00126793,,,-0.009331997,-0.006363232,0.034956994,-0.002770388,0.038729386,-0.004498488,,,-0.00267362,0.036384195,-0.004073176,-0.002403687,,
,,,,,,,,,,0.180724393,,,,,,0.187079467
0.029821073,-0.005652066,,,0.039067051,-0.007622932,0.03857887,0.001072511,0.039969952,,,0.036131995,-0.011152035,0.032203214,0.029376053,,
,-0.011241999,,0.071639034,,-0.010514073,,,0.061973932,,,0.059650219,-0.011733321,,,,
-0.003222074,0.034197403,,-0.001814735,-0.000224644,,0.002666283,0.035932007,0.001865448,-0.003088414,,0.003936789,0.035331518,0.001957969,-0.002153408,0.037753569,
0.028518421,-0.003206303,,0.034493275,,-0.003003944,,,0.035398444,0.026473112,0.032712095,0.037007402,-0.006344131,0.036360247,0.031104081,-0.00153971,
,0.06822186,,0.008680444,,0.065134033,,,,,,0.014355919,0.060318312,0.013166601,0.002957097,,
0.035115235,-0.002264801,,0.046408874,0.039613558,-0.001162126,0.045961825,,,0.03296647,,0.04844465,-0.002365101,,0.033418315,,
0.058964358,,,,,0.005207279,0.048060914,,0.045775982,,0.054916925,0.051063294,,0.04890325,0.054893205,0.008765104,0.046386501
0.074511851,,0.078280731,,,,0.082063035,,,0.081161937,,,,,0.074024541,0.030955037,0.087631112
0.026320521,-0.003388243,,0.031998889,0.028675907,-0.00189817,0.036736943,0.003142899,0.037197009,0.028704637,,,-0.007553669,0.032789898,0.029427064,,
-0.007398954,0.035825248,,-0.007953541,-0.003605551,0.035523253,-0.00320428,0.033364605,-0.001734132,,,-0.004143328,,-0.002080223,0.001109841,0.031858156,
0.032860088,-0.000661872,,0.035392075,,2.46E-05,0.043804432,0.007105535,,0.033783644,,0.040204546,-0.001556409,,0.04425391,-0.002237338,
0.028644633,-0.003025743,,0.023676524,,-0.007970705,0.028335006,-0.003363489,0.022650143,0.029315898,0.025490908,0.027036567,-0.002250286,0.03356718,,-0.007506382,
-0.011899927,,,,,0.044841439,-0.003887992,,,-0.010199572,0.002030484,,0.03645603,-0.009627989,-0.012133829,,0.003130654
,,0.185803844,,,,,,,0.166342549,0.198989753,,,,,0.102281889,
